run_id,csv_file,category,target_body_x_m,target_body_y_m,target_yaw_rad
1,forward_50cm(1).csv,forward_50cm,0.5,0.0,NA
2,forward_50cm(2).csv,forward_50cm,0.5,0.0,NA
3,forward_50cm(3).csv,forward_50cm,0.5,0.0,NA
4,backward_50cm(1).csv,backward_50cm,-0.5,0.0,NA
5,backward_50cm(2).csv,backward_50cm,-0.5,0.0,NA
6,backward_50cm(3).csv,backward_50cm,-0.5,0.0,NA
7,left_30cm(1).csv,lateral_left_30cm,0.0,0.3,NA
8,left_30cm(2).csv,lateral_left_30cm,0.0,0.3,NA
9,left_30cm(3).csv,lateral_left_30cm,0.0,0.3,NA
10,right_30cm(1).csv,lateral_right_30cm,0.0,-0.3,NA
11,right_30cm(2).csv,lateral_right_30cm,0.0,-0.3,NA
12,right_30cm(3).csv,lateral_right_30cm,0.0,-0.3,NA
13,diagonal_30cm(1).csv,diagonal_1,0.209,-0.213,NA
14,diagonal_30cm(2).csv,diagonal_2,-0.211,0.220,NA
15,diagonal_30cm(3).csv,diagonal_3,0.210,0.222,NA
16,diagonal_30cm(4).csv,diagonal_4,-0.201,-0.221,NA
17,newRandomYaw(1).csv,random_target_pose,0.1707,0.1688,-2.2899
